name,url,technicalScore,outreachScore,priority,shouldContact,outreachRecommendation,outreachReasons,scoreReasons,title,titleLength,titleQuality,hasHttps,responseStatus,loadTimeMs,loadTimeSeconds,hasFavicon,hasViewport,hasMetaDescription,metaDescriptionLength,emailsCount,phonesCount,socialLinksCount,hasPdfLinks,pdfLinksCount,brokenImagesCount,imagesCount,imagesWithoutAltCount,brokenLinksCount,javaScriptIssuesCount,hasHorizontalScrollDesktop,hasHorizontalScrollMobile,mobileViewportWidth,mobileContentWidth,desktopScreenshotPath,mobileScreenshotPath,error,hasRobotsTxt,robotsTxtStatus,hasSitemap,sitemapStatus
Zahnarztpraxis am Landesmuseum,https://www.zap-landesmuseum.de/,80,5,LOW,,SKIP,,Missing meta description: +3 outreach | Page title quality is poor: +2 outreach,"Zahnarztpraxis am Landesmuseum – Dr. Henriette & Stephan Peters, Reichardtstr. 21, 06114 Halle",94,poor,1,200,802,0.80,1,1,,0,1,1,1,,0,0,14,12,0,0,,,390,390,data/screenshots/desktop/zahnarztpraxis-am-landesmuseum.png,data/screenshots/mobile/zahnarztpraxis-am-landesmuseum.png,,1,200,,404
La Vang Cuisine,https://lavangcuisine.sides-shop.com/articles,86,3,LOW,,SKIP,,Missing meta description: +3 outreach,La Vang Cuisine,15,ok,1,200,588,0.59,1,1,,0,0,0,0,,0,0,1,1,0,0,,,390,390,data/screenshots/desktop/la-vang-cuisine.png,data/screenshots/mobile/la-vang-cuisine.png,,1,200,1,200
Café Ludwig,https://www.cafeludwig-halle.de/fr%C3%BChst%C3%BCcksbuffet/,90,3,LOW,,SKIP,,Missing meta description: +3 outreach,Frühstück im Café Ludwig - info-cafe-ludwigs Webseite!,54,ok,1,200,518,0.52,1,1,,0,0,0,0,,0,0,2,1,0,0,,,390,390,data/screenshots/desktop/caf-ludwig.png,data/screenshots/mobile/caf-ludwig.png,,1,200,1,200
Objekt 5 / Restaurant Ruine,https://www.objekt5.com/,68,35,LOW,1,CONTACT,Severe mobile horizontal overflow (590px),Severe mobile horizontal overflow detected (590px): +35 outreach,Objekt5 I Restaurant I Konzerte I Live-Musik I Halle (Saale),60,ok,1,200,473,0.47,1,1,1,115,2,0,2,,0,0,29,26,0,0,,1,390,980,data/screenshots/desktop/objekt-5-restaurant-ruine.png,data/screenshots/mobile/objekt-5-restaurant-ruine.png,,1,200,1,200
Kaffeehaus Wittekind,https://kaffeehaus-wittekind.de/,82,9,LOW,,SKIP,,2 JavaScript issue(s): +6 outreach | Missing meta description: +3 outreach,Kaffeehaus Wittekind – Restaurant & Café,40,ok,1,200,1277,1.28,1,1,,0,1,1,2,1,1,0,27,25,0,2,,,390,390,data/screenshots/desktop/kaffeehaus-wittekind.png,data/screenshots/mobile/kaffeehaus-wittekind.png,,1,200,1,200
Krug Zum Grünen Kranze - Das Original,https://krugzumgruenenkranze.de/,100,0,LOW,,SKIP,,,Willkommen – Krug zum grünen Kranze,35,ok,1,200,907,0.91,1,1,1,22,1,0,2,,0,0,8,1,0,0,,,390,390,data/screenshots/desktop/krug-zum-gr-nen-kranze-das-original.png,data/screenshots/mobile/krug-zum-gr-nen-kranze-das-original.png,,1,200,1,200
Speiseberg,https://bergschenke-halle.com/speiseberg/,85,9,LOW,,REVIEW,6 JavaScript issues,6 JavaScript issue(s): +9 outreach,Speiseberg - Speiseberg,23,ok,1,200,2721,2.72,,1,1,24,2,1,2,,0,0,47,45,0,6,,,390,390,data/screenshots/desktop/speiseberg.png,data/screenshots/mobile/speiseberg.png,,1,200,1,200
Praxis für Allgemeinmedizin Richter + Cernota,https://richter-cernota.de/,80,5,LOW,,SKIP,,Missing meta description: +3 outreach | Page title quality is poor: +2 outreach,Praxis Dr. Richter + Dr. Cernota | Ihre Praxis für Allgemeinmedizin in Halle (Kröllwitz),88,poor,1,200,640,0.64,1,1,,0,1,0,0,,0,0,8,7,0,0,,,390,390,data/screenshots/desktop/praxis-f-r-allgemeinmedizin-richter-cernota.png,data/screenshots/mobile/praxis-f-r-allgemeinmedizin-richter-cernota.png,,1,200,1,200
Gesunder Zahn Kröllwitz Zahnarzt Krüger,https://www.gesunderzahn-kroellwitz.de/,100,0,LOW,,SKIP,,,Start - Zahnarztpraxis Andre Krüger,35,ok,1,200,1843,1.84,1,1,1,37,1,0,0,,0,0,7,0,0,0,,,390,320,data/screenshots/desktop/gesunder-zahn-kr-llwitz-zahnarzt-kr-ger.png,data/screenshots/mobile/gesunder-zahn-kr-llwitz-zahnarzt-kr-ger.png,,,404,1,200
PizzaOne,https://pizzaone.simplywebshop.de/,87,2,LOW,,SKIP,,Page title quality is poor: +2 outreach,PizzaOne,8,poor,1,200,574,0.57,1,1,1,491,0,0,0,,0,0,1,1,0,0,,,390,390,data/screenshots/desktop/pizzaone.png,data/screenshots/mobile/pizzaone.png,,1,200,1,200
FAKO Asian Cuisine,https://fako-halle.eatbu.com/?lang=de,80,5,LOW,,SKIP,,Missing meta description: +3 outreach | Page title quality is poor: +2 outreach,FAKO Asian Cuisine - Halle (Saale) | Asiatische Küche in meiner Nähe | Jetzt reservieren,88,poor,1,200,210,0.21,1,1,,0,1,1,0,1,1,0,3,3,0,0,,,390,390,data/screenshots/desktop/fako-asian-cuisine.png,data/screenshots/mobile/fako-asian-cuisine.png,,1,200,1,200
Alexis Zorbas,https://zorbas-halle.de/,80,5,LOW,,SKIP,,Missing meta description: +3 outreach | Page title quality is poor: +2 outreach,Griechisches Restaurant Alexis Zorbas in Halle – Alexis Zorbas in Halle,71,poor,1,200,1232,1.23,1,1,,0,0,1,1,,0,0,16,14,0,0,,,390,390,data/screenshots/desktop/alexis-zorbas.png,data/screenshots/mobile/alexis-zorbas.png,,1,200,1,200
MenüPlus UG,https://www.menue-plus.de/,55,60,MEDIUM,1,CONTACT,Missing mobile viewport | Severe mobile horizontal overflow (590px),Missing mobile viewport: +25 outreach | Severe mobile horizontal overflow detected (590px): +35 outreach,Startseite - Menü plus - Essen auf Rädern,41,ok,1,200,373,0.37,1,,1,91,0,0,0,,0,0,0,0,0,0,,1,390,980,data/screenshots/desktop/men-plus-ug.png,data/screenshots/mobile/men-plus-ug.png,,1,200,,404
Akropolis-Grill,https://www.akropolis-grillhaus.de/,90,15,LOW,,REVIEW,1 confirmed broken link,1 broken link(s): +12 outreach | 1 JavaScript issue(s): +3 outreach,Akropolis Grillhaus,19,ok,1,200,330,0.33,,1,1,116,1,1,0,1,1,0,14,3,1,1,,,390,395,data/screenshots/desktop/akropolis-grill.png,data/screenshots/mobile/akropolis-grill.png,,1,200,,404
Khanis Super Döner,https://bizsite.link/de-view.php?seo=khanis-super-doner,100,0,LOW,,SKIP,,,Khanis Super Döner - Standorte aus der ganzen Welt,50,ok,1,200,481,0.48,1,1,1,102,1,1,0,,0,0,3,0,0,0,,,390,390,data/screenshots/desktop/khanis-super-d-ner.png,data/screenshots/mobile/khanis-super-d-ner.png,,1,200,1,200
Deutsche Institute für Arbeitsmedizin - Institut Halle,https://dia-doc.de/standorte/halle,85,14,LOW,1,CONTACT,Desktop horizontal overflow,Minor desktop horizontal overflow detected: +3 outreach | 1 JavaScript issue(s): +3 outreach | Slow initial loading time (5.75s): +8 outreach,DIA - Arbeitsmedizin in Halle (Saale),37,ok,1,200,5747,5.75,1,1,1,127,2,1,2,,0,0,12,0,0,1,1,,390,390,data/screenshots/desktop/deutsche-institute-f-r-arbeitsmedizin-institut-halle.png,data/screenshots/mobile/deutsche-institute-f-r-arbeitsmedizin-institut-halle.png,,,404,,404
Zahnärzte im Waldstraßenviertel,https://ziw-halle.de/,86,3,LOW,,SKIP,,Missing meta description: +3 outreach,Zahnärzte im Waldstraßenviertel – Praxis Dr. Gernhardt,54,ok,1,200,707,0.71,1,1,,0,1,1,0,,0,0,15,13,0,0,,,390,390,data/screenshots/desktop/zahn-rzte-im-waldstra-enviertel.png,data/screenshots/mobile/zahn-rzte-im-waldstra-enviertel.png,,1,200,1,200
Hausarztpraxis Halle Heide Nord Dr. Ines Moldenhauer,https://hausarztpraxis-heide-nord.de/,86,3,LOW,,SKIP,,Missing meta description: +3 outreach,Praxis Heide Nord Dr. Ines Moldenhauer - hausarztpraxis-heide-nord.de,69,ok,1,200,474,0.47,1,1,,0,1,0,0,,0,0,10,10,0,0,,,390,390,data/screenshots/desktop/hausarztpraxis-halle-heide-nord-dr-ines-moldenhauer.png,data/screenshots/mobile/hausarztpraxis-halle-heide-nord-dr-ines-moldenhauer.png,,1,200,1,200
Büschdorfer Hof,https://www.bueschdorfer-hof.de/,48,60,MEDIUM,1,CONTACT,Missing mobile viewport | Severe mobile horizontal overflow (590px),Missing mobile viewport: +25 outreach | Severe mobile horizontal overflow detected (590px): +35 outreach,Büschdorfer Hof,15,ok,1,200,1026,1.03,1,,1,98,0,0,0,,0,0,22,17,0,0,,1,390,980,data/screenshots/desktop/b-schdorfer-hof.png,data/screenshots/mobile/b-schdorfer-hof.png,,1,200,,404
Zahnarztpraxis Dr. Yvonne Schack,https://www.zahnarztpraxis-schack.de/,100,0,LOW,,SKIP,,,Dr. Yvonne Schack | Zahnarztpraxis in Halle (Saale),51,ok,1,200,245,0.24,1,1,1,155,0,1,0,,0,0,0,0,0,0,,,390,390,data/screenshots/desktop/zahnarztpraxis-dr-yvonne-schack.png,data/screenshots/mobile/zahnarztpraxis-dr-yvonne-schack.png,,1,200,1,200
NIMET Pizza & Döner,https://www.nimetpizzadoenernudelnsalat.de/,91,2,LOW,,SKIP,,Page title quality is poor: +2 outreach,"Nimet Pizza, Döner, Nudeln, Salat - Essen online bestellen in Halle (Saale)",75,poor,1,200,610,0.61,1,1,1,172,0,0,0,,0,0,3,2,0,0,,,390,390,data/screenshots/desktop/nimet-pizza-d-ner.png,data/screenshots/mobile/nimet-pizza-d-ner.png,,1,200,1,200
